排名,片名,评分,评价人数,一句话影评
180,疯狂的石头,8.6,937701人评价,中国版《两杆大烟枪》。
181,雨中曲,9.1,273880人评价,
182,2001太空漫游,8.9,404740人评价,
183,海街日记,8.8,530804人评价,是枝裕和的家庭习作。
184,上帝之城,9.0,337385人评价,
185,心迷宫,8.7,627706人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
186,风之谷,8.9,397800人评价,
187,记忆碎片,8.7,716383人评价,
188,英雄本色,8.6,613843人评价,
189,纵横四海,8.8,494696人评价,
190,恐怖游轮,8.5,1045197人评价,不要企图在重复中寻找已经失去的爱。
191,无敌破坏王,8.7,619796人评价,迪士尼和皮克斯拿错剧本的产物。
192,芙蓉镇,9.3,196150人评价,
193,卢旺达饭店,8.9,371694人评价,当这个世界闭上双眼，他却敞开了怀抱。
194,魔女宅急便,8.7,532270人评价,
195,牯岭街少年杀人事件,8.9,377874人评价,
196,小偷家族,8.7,904090人评价,我们组成了家。
197,东京教父,9.0,297323人评价,
198,冰川时代,8.7,693400人评价,
199,忠犬八公物语,9.2,221696人评价,
200,岁月神偷,8.7,616984人评价,岁月流逝，来日可追。
201,遗愿清单,8.7,548925人评价,用剩余不多的时间，去燃烧整个生命。
202,大佛普拉斯,8.7,564075人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
203,白日梦想家,8.6,666144人评价,
204,源代码,8.6,938542人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
205,花束般的恋爱,8.6,847925人评价,
206,荒蛮故事,8.7,525558人评价,始于荒诞，止于更荒诞。
207,爱乐之城,8.4,1141973人评价,
208,疯狂的麦克斯4：狂暴之路,8.7,626732人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
209,可可西里,8.9,351247人评价,坚硬的信仰。
210,你看起来好像很好吃,8.9,381036人评价,感情不分食草或者食肉。
211,波西米亚狂想曲,8.6,700193人评价,
212,贫民窟的百万富翁,8.6,813332人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
213,城市之光,9.3,176222人评价,
214,大红灯笼高高挂,8.8,383368人评价,
215,爆裂鼓手,8.6,701718人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
216,哈利·波特与死亡圣器(上),8.6,708007人评价,最忠于原著的一部。
217,无耻混蛋,8.7,572771人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
218,终结者2：审判日,8.8,392501人评价,
219,青蛇,8.6,608197人评价,
220,东邪西毒,8.6,641864人评价,
